"","...1","...2","...3",":id",":version",":created_at",":updated_at","record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated","year"
"79",79,79,406,"row-tunt_f3tb~yxbm","rv-nf94~nyng.36s6",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"56250235449218e30813a61f22f86623",1967,"vt","CDC_Verily",50007,"Chittenden",25000,"e8489b58c344dd585abfd54d1d7d03d0",2026-03-10,"24-hr flow-weighted composite","post grit removal","wwtp",0,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",4498.80766,"copies/l wastewater",1500,"yes",4498.80766,NA,7e-05,"pepper mild mottle virus",66992830.72,"copies/l wastewater",160.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"80",80,80,415,"row-tmqh~5swd~z49r","rv-ncgw.8mub~5nd5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c99f772e3f44a5c7916d0ee6f81d3af5",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"079356e20aaa1866ccedac4ac9e66498",2026-05-04,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",28058.10821,"copies/g dry sludge",1100,"yes",28058.10821,NA,0.00016,"pepper mild mottle virus",175533560.8062,"copies/g dry sludge",96.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"81",81,81,419,"row-nna7~2vv5_saqm","rv-vb5g.3sg7-etbs",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"5bb9df5e9d3bf61ba9b4d5aef1c1a033",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"de0a03ea1fdef1599bd53d26deed2baa",2026-01-13,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",14409.34574,"copies/g dry sludge",1100,"yes",14409.34574,NA,6e-05,"pepper mild mottle virus",249627365.63522,"copies/g dry sludge",131.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"82",82,82,420,"row-jphr-r5r7~48h3","rv-6e64-29wk~m4sv",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c4e0971f3fc441b672c9fa928f617764",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"5e4dd935bdfb1b0346372c368e50c6a6",2026-01-13,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,1e-05,"pepper mild mottle virus",49288067.51712,"copies/g dry sludge",121.6,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"83",83,83,423,"row-gnbk~zsms.9ajm","rv-j9fe-e66g~y8h6",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"3847469fce8e6a06ad2b6286aedd0182",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"09b45aab189c3eff5b7973b93b316958",2026-03-23,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",76355.07104,"copies/g dry sludge",1100,"yes",76355.07104,NA,0.00022,"pepper mild mottle virus",346581550.88889,"copies/g dry sludge",123.3,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"84",84,84,424,"row-bwu6-pznz.6mcr","rv-c8w9.dx2b.7488",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"ff5c3bd75773b154d8287e9d810b8248",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"bbe9fc66bb4f8fd8d647cf7faa609b5d",2026-03-30,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",104752.59564,"copies/g dry sludge",1100,"yes",104752.59564,NA,3e-04,"pepper mild mottle virus",349189278.20561,"copies/g dry sludge",118.7,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"85",85,85,428,"row-jcxu-q3ze-6en2","rv-g3c6-v22f~xc25",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"6211a410f99f60e9ae2181636221318d",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"c4e562f7e6c5f637a2db81e44217716f",2026-07-06,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",229171501.61569,"copies/g dry sludge",134.5,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"86",86,86,438,"row-xgx2_3swh.5buj","rv-qusz.avvk-thg5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"715244039a7a0f97aa7afe423d636e76",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"931dc19584be81ba2ec94d176fd409e2",2026-07-10,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",446861114.81733,"copies/g dry sludge",78.4,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"87",87,87,439,"row-q4t2~r3n4-aeun","rv-qzdb-stcw-u2wp",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"099259b0b991f3b1ba999c1ca1b735fc",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"5346f50fb5f0ddfc7b1e69be1b0fd144",2026-03-04,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",34136.25795,"copies/g dry sludge",1100,"yes",34136.25795,NA,7e-05,"pepper mild mottle virus",457820705.23416,"copies/g dry sludge",118.4,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"88",88,88,441,"row-73t5.cs47_m5qp","rv-264z.vusg-fx56",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e0d237753085be76c499bd382f79d7ba",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"775a2c711799555900de52d77c7e76ae",2026-01-20,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,1e-05,"pepper mild mottle virus",71914458.69474,"copies/g dry sludge",118.1,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"89",89,89,446,"row-n87v-5rak-u3rk","rv-tj4r.af85_yda9",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"14bf8eedd7f7d0287babc57cdc95019a",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"c3e17ee847d690915e9a8f7d2391e036",2026-01-26,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",31599.59259,"copies/g dry sludge",1100,"yes",31599.59259,NA,8e-05,"pepper mild mottle virus",388200627.49425,"copies/g dry sludge",164.5,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"90",90,90,447,"row-m8xd~g9ap-evhk","rv-26yj.ywgt_rf7c",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"df956129bcd8231eb6fc6fcb370df605",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"464d3ae5756927151f02f0bb22e5cbad",2026-02-27,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",20777.49386,"copies/g dry sludge",1100,"yes",20777.49386,NA,0.00012,"pepper mild mottle virus",175188946.49462,"copies/g dry sludge",75.2,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"91",91,91,452,"row-ueti~s4dz~qfhr","rv-piep-838x-9buy",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"36677ed3decea4768509bb5b37a149a6",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"6604a11eff823564192922fbae2ada5e",2026-03-02,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",47164.00345,"copies/g dry sludge",1100,"yes",47164.00345,NA,8e-05,"pepper mild mottle virus",605350232.93897,"copies/g dry sludge",119.6,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"92",92,92,458,"row-e3wx~iqxj-mkvp","rv-avnk~ecdc_y6jg",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"20a7a8ec370e988e1f0dbc5d5b842792",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"7ed9e772206ff20e17e0ec86a050c497",2026-02-03,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",19003.2721,"copies/g dry sludge",1100,"yes",19003.2721,NA,8e-05,"pepper mild mottle virus",224609375.0303,"copies/g dry sludge",128.5,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"93",93,93,463,"row-adxi.2ycv.9vg4","rv-j4gb~txp7-ypmf",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c0e903ab9fdfbdf46ec084efd2c4c248",1976,"vt","CDC_Verily",50027,"Windsor",6000,"582a306a385ab7d4323d67c2c6b0fd7b",2026-03-10,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",9880.98412,"copies/l wastewater",1500,"yes",9880.98412,2181869.50854,0.00042,"pepper mild mottle virus",23324876.05169,"copies/l wastewater",61.5,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"94",94,94,477,"row-czyz~6e9y.3rvj","rv-8cmv_r76k~ge7x",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"7a2adf9d902b93b2a916720410b965a7",2350,"vt","CDC_Verily",50001,"Addison",9000,"081a252c75ebc6d54a280a2024c40cf9",2026-03-26,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",5019.19967,"copies/l wastewater",1500,"yes",5019.19967,2111075.38176,0.00017,"pepper mild mottle virus",28738600.51692,"copies/l wastewater",61.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"95",95,95,488,"row-8vrh_hq2k-pd3w","rv-cvjy_eutf_3ex5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"990140ba2ab955575df46d606351f8c4",1976,"vt","CDC_Verily",50027,"Windsor",6000,"bb0b8d4a0c448e131c0e5df01fdcecef",2026-03-02,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",6167.2426,"copies/l wastewater",1500,"yes",6167.2426,1361819.67525,0.00044,"pepper mild mottle virus",13876887.39446,"copies/l wastewater",38.6,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"96",96,96,495,"row-vhjm~ubus_dseg","rv-r4xz-pb5m-ncj3",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e689aa6996892313053c9e50547b6a37",1976,"vt","CDC_Verily",50027,"Windsor",6000,"22086fb0de8623da352e75a64306762d",2026-01-12,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00081,"pepper mild mottle virus",931291.21329,"copies/l wastewater",10.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"97",97,97,502,"row-f77v_59gt.g7cr","rv-nmbh_augh-jphx",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"a4a5ca9e7cf3edcee15186486cb36006",1976,"vt","CDC_Verily",50027,"Windsor",6000,"e57375bbdfb6a20b9639d8f6469b61e6",2026-05-26,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00025,"pepper mild mottle virus",3055561.35877,"copies/l wastewater",49.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"98",98,98,511,"row-6wn7.bfee-styg","rv-dt23.279x-btge",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"9ebe64bfd86e0683966ad5fa8c127105",2350,"vt","CDC_Verily",50001,"Addison",9000,"8ccdefbb837bf53cb385f3a1c5bb2733",2026-05-14,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",3334.35218,"copies/l wastewater",1500,"yes",3334.35218,1402428.52521,5e-05,"pepper mild mottle virus",60763845.58769,"copies/l wastewater",100,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"99",99,99,513,"row-vmkx-gt26-65px","rv-9n8u~2xue_m5vb",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"823ddee5f26031c4a884904812cfa938",2350,"vt","CDC_Verily",50001,"Addison",9000,"826584be182966e641cb3737cdc25210",2026-02-19,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2027.79012,"copies/l wastewater",1500,"yes",2027.79012,852888.52382,4e-05,"pepper mild mottle virus",55712195.76615,"copies/l wastewater",74.7,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"100",100,100,519,"row-t2qn_yt69-249p","rv-8x2s-354m.x7iv",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"1eefc502765066898ca1bb7ac8a74ffd",2350,"vt","CDC_Verily",50001,"Addison",9000,"593c47abe9c8045dde5dd8b823a30e61",2026-06-02,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",30995192.32,"copies/l wastewater",129.1,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"101",101,101,524,"row-zi7a.thew~qsh6","rv-gurp_gbzg-6n3n",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"85f6c145d06b55eca6bfcbc24bd7e57d",1976,"vt","CDC_Verily",50027,"Windsor",6000,"5aa1e4bb86845e23144a47f54805b731",2026-05-18,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00017,"pepper mild mottle virus",4477577.504,"copies/l wastewater",14.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"102",102,102,525,"row-cah7-zfts.82rz","rv-pd2z~v4q8_js3q",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c4e84d779459b1185b2c411883482363",1976,"vt","CDC_Verily",50027,"Windsor",6000,"ed7cdc9fb28457843e20b2730064bff5",2026-05-12,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,4e-05,"pepper mild mottle virus",20252887.43138,"copies/l wastewater",44.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"103",103,103,528,"row-juhf_ruf9.zj6e","rv-zgk9-bbr4_tt39",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c10ce149e729570369fbe01f14a9aa0e",2350,"vt","CDC_Verily",50001,"Addison",9000,"1541af111d08d0af65513e39a66a859f",2026-04-14,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",38979187.00308,"copies/l wastewater",128.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"104",104,104,532,"row-hp5y_s7hg.d29n","rv-2f6n-acrk-pvk5",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"8dc0ca352d282bdfc8b1dcee434d05dc",2350,"vt","CDC_Verily",50001,"Addison",9000,"bf5ff7e6c8159d91c1d8b6e6e5836b25",2026-03-24,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",6178.13679,"copies/l wastewater",1500,"yes",6178.13679,2598524.33198,0.00018,"pepper mild mottle virus",34967717.09538,"copies/l wastewater",198,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"105",105,105,537,"row-rqkf_np72_qw4t","rv-cqm2-urfc_9v7r",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"080c97227fa414d22575e837ca8c40d3",1976,"vt","CDC_Verily",50027,"Windsor",6000,"82292c890989b90538ca4dd443b5ab24",2026-01-05,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,5e-05,"pepper mild mottle virus",13720056.38646,"copies/l wastewater",41,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"106",106,106,539,"row-vwud_bmg6_sj5q","rv-4m8d-hdy4.8suh",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"1ad4991e8a1a6b34e8e8b167c3449ada",1976,"vt","CDC_Verily",50027,"Windsor",6000,"eafceaa0240d66dd6847f5abc6ad971f",2026-02-24,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",6267.22398,"copies/l wastewater",1500,"yes",6267.22398,1383897.06412,1e-04,"pepper mild mottle virus",62245929.42769,"copies/l wastewater",46.9,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"107",107,107,545,"row-7aev-nzg2-v4xk","rv-75b7~3kkj_yy84",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e8af85516badae49f76ce691972bb7a2",1976,"vt","CDC_Verily",50027,"Windsor",6000,"afba4a476763db6f152c85385281ff76",2026-01-27,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0,"pepper mild mottle virus",166007587.15077,"copies/l wastewater",74.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"108",108,108,551,"row-yf8b.hgde-74uh","rv-grt4-y7f2_t9c4",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"d74aeed2abc431b5b1b9829840516479",2350,"vt","CDC_Verily",50001,"Addison",9000,"74bf9cc833b2f5cabd53467690f97c50",2026-03-19,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",1376.4373,"copies/l wastewater",1500,"no",750,315450,2e-05,"pepper mild mottle virus",32249049.25538,"copies/l wastewater",87.4,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"109",109,109,555,"row-aumi.387g-s964","rv-i8d9~krmp~2t49",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"1bbf452e5bb1feb4a9f53fe263e8a0d4",2350,"vt","CDC_Verily",50001,"Addison",9000,"5b2afea77482016dfd98c1c9a5c26aca",2026-03-12,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,315450,5e-05,"pepper mild mottle virus",15387216.42092,"copies/l wastewater",43.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"110",110,110,569,"row-ycw9-fjuz~8zfq","rv-t28a.gazb-2wz7",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"b8f23ab9781f48beadc853034b5ff7d1",2350,"vt","CDC_Verily",50001,"Addison",9000,"7a6edfe4b1ef70406c5f99be0e211e1b",2026-04-21,"24-hr flow-weighted composite","raw wastewater","wwtp",1,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",2111.7102,"copies/l wastewater",1500,"yes",2111.7102,888185.31179,7e-05,"pepper mild mottle virus",31865579.44615,"copies/l wastewater",102.2,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"111",111,111,570,"row-ecfe.rfkc~3nam","rv-njru~vj3e.93um",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"c3fbe4e0c54284da8da9a9f03299dbe7",1976,"vt","CDC_Verily",50027,"Windsor",6000,"148bd6d4e79fcac8292b70c885d79a69",2026-06-02,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,2e-05,"pepper mild mottle virus",37911736.12308,"copies/l wastewater",74.3,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"112",112,112,573,"row-i2um~rm8r.qab8","rv-m6cx-fbsn_kszh",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"aafcfbe2f6f1b1dd0fe04364796aed67",1976,"vt","CDC_Verily",50027,"Windsor",6000,"da079a6bc4d9a37d27fd9873053b13b7",2026-04-20,"grab","raw wastewater","wwtp",0.35,"ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit",2,"no","no","no","rsv","rsv-a and rsv-b combined",0,"copies/l wastewater",1500,"no",750,165611.25,0.00201,"pepper mild mottle virus",372615.11729,"copies/l wastewater",15,"bcov vaccine","clarified sample",5,2026-07-24 11:01:00,2026
"113",113,113,576,"row-7uun_9raw.pbq8","rv-sc4h-7q3p_pzm9",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"6f5cb084d74ef5f10b5e4b6a67c6d8cb",1966,"vt","WastewaterSCAN",50007,"Chittenden",16000,"ecff0a902ddd0a4c93c3de8e73f660d4",2026-06-30,"24-hr time-weighted composite","post grit removal","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,1e-05,"pepper mild mottle virus",101475237.41449,"copies/g dry sludge",150.7,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"114",114,114,579,"row-z6jy-imnw_dwn3","rv-tk6n-gcwk_n96t",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"d84543ba6f7fa0cb509f970f1607d91d",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"d2e503398edfda1ff4d36b2c0c45dd71",2026-01-08,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",3018.90491,"copies/g dry sludge",1100,"yes",3018.90491,NA,2e-05,"pepper mild mottle virus",178030287.26241,"copies/g dry sludge",216.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"115",115,115,581,"row-zffu~65ku~86v4","rv-efx8.nr6b.k3e2",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"e262fc279ae188622a2aad1bf941c73b",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"763b64343063f1524e5d072df142ba55",2026-06-19,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",0,"copies/g dry sludge",1100,"no",550,NA,0,"pepper mild mottle virus",170589221.27719,"copies/g dry sludge",73.3,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"116",116,116,607,"row-yr57-7v7a~hsbj","rv-k8yg-3hf9-47v2",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"0d24d1b1e6532c9c40931a4f9c577343",1965,"vt","WastewaterSCAN",50007,"Chittenden",30000,"0a3b75de07ac96b1e9270471d5c967a3",2026-01-07,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",14464.24089,"copies/g dry sludge",1100,"yes",14464.24089,NA,4e-05,"pepper mild mottle virus",365077582.45926,"copies/g dry sludge",110.8,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"117",117,117,613,"row-5qt2~8u8c_kt7n","rv-pxdg~iix5_j3jb",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"9552d0ed740ed8af187df0b85380b5a0",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"87ae1d129d80647756c833172873aaeb",2026-02-10,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",10830.08566,"copies/g dry sludge",1100,"yes",10830.08566,NA,4e-05,"pepper mild mottle virus",277515574.85714,"copies/g dry sludge",125.7,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
"118",118,118,617,"row-4fat_fx97.6igs","rv-prrs_u76a.skw8",2026-07-24 15:01:50.227,2026-07-24 15:01:50.227,"4d89d669338bac89351dbdf33870ef12",1975,"vt","WastewaterSCAN",50023,"Washington",10100,"6ff04c2fd1b1b97a6b1f08f212e90ad5",2026-05-18,"grab","primary sludge","wwtp",NA,"none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested",NA,"no","rsv","rsv-a and rsv-b combined",7247.32226,"copies/g dry sludge",1100,"yes",7247.32226,NA,3e-05,"pepper mild mottle virus",254765694.27518,"copies/g dry sludge",134,"bcov vaccine","dewatered solids",4,2026-07-24 11:01:00,2026
